DATE,COMPOUT
2017-01-11,958.833118311
2017-01-18,966.57175946
2017-01-25,962.940878018
2017-02-01,965.290980227
2017-02-08,964.990201201
2017-02-15,964.40814524
2017-02-22,966.11285367
2017-03-01,970.304473016
2017-03-08,962.89584711
2017-03-15,961.238391996
2017-03-22,965.094396086
2017-03-29,986.049197937
2017-04-05,992.678434021
2017-04-12,984.870403839
2017-04-19,974.858956412
2017-04-26,980.17497496
2017-05-03,992.53779215
2017-05-10,981.450600207
2017-05-17,986.436273447
2017-05-24,987.129640285
2017-05-31,993.581651104
2017-06-07,996.76394377
2017-06-14,968.448231433
2017-06-21,978.655049136
2017-06-28,973.267928355
2017-07-05,946.254286816
2017-07-12,960.116448433
2017-07-19,969.866125073
2017-07-26,977.440930808
2017-08-02,969.215986901
2017-08-09,979.873908697
2017-08-16,987.060690335
2017-08-23,996.064218742
2017-08-30,1023.26979447
2017-09-06,1007.172114598
2017-09-13,1023.388263736
2017-09-20,1043.855681143
2017-09-27,1059.138551351
2017-10-04,1069.204780793
2017-10-11,1063.751937484
2017-10-18,1061.692223663
2017-10-25,1067.25319038
2017-11-01,1047.464570325
2017-11-08,1051.36979168
2017-11-15,1032.588857578
2017-11-22,1028.573104172
2017-11-29,1042.70214535
2017-12-06,1052.68090923
2017-12-13,1049.757134158
2017-12-20,1078.678284351
2017-12-27,1080.301621066
2018-01-03,1086.679421343
2018-01-10,1111.281803016
2018-01-17,1118.821806552
2018-01-24,1128.521330551
2018-01-31,1138.863575409
2018-02-07,1130.021813659
2018-02-14,1117.786965071
2018-02-21,1094.524767493
2018-02-28,1091.80556532
2018-03-07,1093.468492188
2018-03-14,1081.093343217
2018-03-21,1065.731812308
2018-03-28,1064.488282724
2018-04-04,1049.821180501
2018-04-11,1059.993830427
2018-04-18,1065.283955502
2018-04-25,1056.842175215
2018-05-02,1052.630149341
2018-05-09,1058.567509039
2018-05-16,1068.037996943
2018-05-23,1090.59673649
2018-05-30,1107.086975122
2018-06-06,1097.218282917
2018-06-13,1109.373982043
2018-06-20,1102.257079547
2018-06-27,1087.285862532
2018-07-04,1067.26341519
2018-07-11,1076.971153523
2018-07-18,1063.316834863
2018-07-25,1069.208661215
2018-08-01,1066.207392819
2018-08-08,1072.522467862
2018-08-15,1055.212265254
2018-08-22,1068.589696211
2018-08-29,1066.996623758
2018-09-05,1067.617208381
2018-09-12,1068.568789569
2018-09-19,1073.910309876
2018-09-26,1083.502853147
2018-10-03,1100.226346375
2018-10-10,1101.870785744
2018-10-17,1081.191451341
2018-10-24,1086.09648069
2018-10-31,1085.624639602
2018-11-07,1082.060141794
2018-11-14,1082.495399895
2018-11-21,1086.281093638
2018-11-28,1089.437695466
2018-12-05,1073.594722761
2018-12-12,1088.976756566
2018-12-19,1072.982833403
2018-12-26,1055.332452196
2019-01-02,1047.616182942
2019-01-09,1073.221423492
2019-01-16,1064.692760919
2019-01-23,1067.789821213
2019-01-30,1079.604708768
2019-02-06,1056.909472537
2019-02-13,1061.633703595
2019-02-20,1061.610320961
2019-02-27,1071.812706571
2019-03-06,1068.56824056
2019-03-13,1062.811340413
2019-03-20,1083.339483438
2019-03-27,1080.855318114
2019-04-03,1087.364991996
2019-04-10,1073.393761407
2019-04-17,1081.179391413
2019-04-24,1065.02959793
2019-05-01,1064.006918916
2019-05-08,1081.073804688
2019-05-15,1090.868875
2019-05-22,1082.71984375
2019-05-29,1084.514367188
2019-06-05,1099.985953125
2019-06-12,1098.752554688
2019-06-19,1112.555765625
2019-06-26,1129.967578125
2019-07-03,1163.904492188
2019-07-10,1143.859096825
2019-07-17,1140.428892769
2019-07-24,1151.307718163
2019-07-31,1152.451176598
2019-08-07,1139.826855896
2019-08-14,1134.573042221
2019-08-21,1130.121110641
2019-08-28,1120.443324478
2019-09-04,1123.757449173
2019-09-11,1115.714947937
2019-09-18,1093.539907715
2019-09-25,1097.36294165
2019-10-02,1092.731951355
2019-10-09,1091.844852905
2019-10-16,1079.38348938
2019-10-23,1087.998564209
2019-10-30,1113.216377441
2019-11-06,1119.986223084
2019-11-13,1131.044270508
2019-11-20,1121.032790405
2019-11-27,1138.23816333
2019-12-04,1135.499698853
2019-12-11,1139.447767944
2019-12-18,1128.787334961
2019-12-25,1131.13955127
2020-01-01,1126.364188416
2020-01-08,1125.912092773
2020-01-15,1121.291890991
2020-01-22,1115.041298706
2020-01-29,1119.422133911
2020-02-05,1119.126152344
2020-02-12,1113.087992065
2020-02-19,1123.429453003
2020-02-26,1128.703865601
2020-03-04,1123.592554932
2020-03-11,1128.893451172
2020-03-18,1146.802728271
